ability,"能力
n.
She has the ability to solve complex problems.
她有解決複雜問題的能力。"
abroad,"在國外
adv.
My sister decided to study abroad in England.
我姐姐決定去英國留學。"
absence,"缺席
n.
His absence from the meeting was noticed by everyone.
每個人都注意到了他沒來參加會議。"
accept,"接受
v.
Please accept my sincere apology.
請接受我誠摯的道歉。"
accident,"意外
n.
I met an old friend by accident at the airport.
我在機場意外地遇到了一位老朋友。"
achieve,"達成；實現
v.
You can achieve anything if you work hard enough.
只要你夠努力，你可以實現任何事情。"
admire,"欽佩；欣賞
v.
I really admire your courage to speak the truth.
我真的很欽佩你說出真相的勇氣。"
advantage,"優點；優勢
n.
Being bilingual is a great advantage in the job market.
會說兩種語言在就業市場上是一個很大的優勢。"
afford,"負擔得起
v.
We can't afford to buy a new car this year.
我們今年負擔不起買新車的費用。"
ancient,"古老的
adj.
They visited the ancient temples in Rome.
他們參觀了羅馬的古老寺廟。"
annual,"每年的；年度的
adj.
The company holds an annual meeting every January.
公司每年一月都會舉行年度會議。"
apologize,"道歉
v.
You should apologize to her for being late.
你應該因為遲到而向她道歉。"
appreciate,"感謝；欣賞
v.
I really appreciate your help with my homework.
我非常感謝你幫我做功課。"
artificial,"人工的；人造的
adj.
This plant is made of artificial materials.
這株植物是由人工材料製成的。"
available,"可得到的；有空的
adj.
Is this seat available?
這個座位有人坐嗎？"
average,"平均的
adj.
The average temperature in summer is $30$ degrees Celsius.
夏天的平均氣溫是攝氏 $30$ 度。"
balance,"平衡
n.
It is important to keep a balance between work and life.
在工作與生活之間保持平衡是很重要的。"
benefit,"好處；利益
n.
Eating vegetables brings many benefits to your health.
吃蔬菜對你的健康有很多好處。"
calculate,"計算
v.
Can you calculate the total cost for me?
你能幫我計算一下總費用嗎？"
cancel,"取消
v.
The game was canceled because of the heavy rain.
比賽因為大雨而取消了。"
category,"種類；類別
n.
These books are divided into three categories.
這些書被分為三類。"
character,"性格；角色
n.
He is the main character in the movie.
他是這部電影裡的主角。"
colleague,"同事
n.
I am going to have lunch with my colleagues.
我要和我的同事們一起去吃午餐。"
combine,"結合
v.
Hydrogen and oxygen combine to form water.
氫和氧結合形成水。"
comfortable,"舒服的
adj.
This sofa is very comfortable to sit on.
這張沙發坐起來很舒服。"
communicate,"溝通
v.
They communicate with each other through emails.
他們透過電子郵件互相溝通。"
compare,"比較
v.
Don't compare yourself with others.
不要拿自己跟別人比較。"
complain,"抱怨
v.
He complained about the noise in the street.
他抱怨街道上的噪音。"
concentrate,"專心
v.
I find it hard to concentrate with the music playing.
音樂放著的時候，我覺得很難專心。"
confirm,"確認
v.
Please call to confirm your reservation.
請打電話確認您的預約。"
consequence,"結果；後果
n.
You must be prepared to face the consequences of your actions.
你必須準備好面對你行為的後果。"
consider,"考慮
v.
Please consider my suggestion before you make a decision.
在你做決定之前請考慮我的建議。"
contribute,"貢獻；捐助
v.
Many people contributed money to the charity.
許多人捐錢給慈善機構。"
convenient,"方便的
adj.
The shop is in a very convenient location.
這家店的位置非常方便。"
create,"創造
v.
She wants to create a new style of music.
她想要創造一種新的音樂風格。"
culture,"文化
n.
Learning a language is also learning about the culture.
學習語言也是在學習文化。"
damage,"損害；破壞
n.
The earthquake caused a lot of damage to the building.
地震對這棟建築物造成了很大的損害。"
decide,"決定
v.
I haven't decided what to wear for the party yet.
我還沒決定派對要穿什麼。"
delicious,"美味的
adj.
My mother cooked a delicious dinner for us.
我媽媽為我們做了一頓美味的晚餐。"
describe,"描述
v.
Can you describe the man you saw yesterday?
你能描述一下你昨天看到的那個人嗎？"
different,"不同的
adj.
My hobbies are different from yours.
我的愛好跟你的不同。"
difficult,"困難的
adj.
The math test was more difficult than I expected.
數學考試比我預期的還要難。"
education,"教育
n.
Education is key to a bright future.
教育是通往光明未來的關鍵。"
efficient,"有效率的
adj.
The new system is much more efficient than the old one.
新系統比舊系統有效率得多。"
eliminate,"消除；排除
v.
We need to eliminate the possibility of error.
我們需要排除錯誤的可能性。"
emphasize,"強調
v.
Our teacher emphasized the importance of regular practice.
我們的老師強調了規律練習的重要性。"
encourage,"鼓勵
v.
My parents always encourage me to try new things.
我的父母總是鼓勵我嘗試新事物。"
environment,"環境
n.
We should protect the environment for future generations.
我們應該為了後代保護環境。"
excellent,"優秀的
adj.
He did an excellent job on the presentation.
他的簡報做得非常出色。"
experience,"經驗；經歷
n.
She has a lot of experience in teaching English.
她在英語教學方面有很多經驗。"
explain,"解釋
v.
Can you explain how this machine works?
你能解釋一下這台機器是怎麼運作的嗎？"
famous,"著名的
adj.
Taiwan is famous for its delicious street food.
台灣以其美味的小吃聞名。"
flexible,"有彈性的
adj.
My working hours are very flexible.
我的工作時間非常有彈性。"
frequent,"頻繁的
adj.
Frequent exercise can help you stay healthy.
頻繁的運動能幫助你保持健康。"
generous,"慷慨的
adj.
It was very generous of you to lend me the money.
你借錢給我真是太慷慨了。"
government,"政府
n.
The government is planning to build a new park.
政府正計劃建造一個新公園。"
history,"歷史
n.
I am very interested in ancient history.
我對古代歷史非常感興趣。"
identify,"辨認；鑑定
v.
The police used fingerprints to identify the suspect.
警方利用指紋來辨認嫌疑犯。"
imagine,"想像
v.
Can you imagine living on Mars?
你能想像住在火星上嗎？"
important,"重要的
adj.
Health is more important than wealth.
健康比財富更重要。"
